metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511076929	50369230	count	0	4894677	8228396	0	0	0	0	0	0	0
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511076959	50369231	count	28800209	29302830	9745670	15160562	10694801	7812581	22458260	16963028	9755316	13519966
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511076989	50369232	count	57499021	53472322	29194014	37814198	37435256	31123940	44785990	33838119	38955414	40555728
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077019	50369233	count	85935784	82609631	58293666	67932538	63993917	54464765	72696639	67421403	58338755	67413767
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077049	50369234	count	114661350	107200458	87034325	98174432	90659251	85442596	106286906	92566393	87192189	94248112
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077079	50369235	count	143057811	136214230	115928269	120676424	122495155	108894265	134202247	125835722	116093769	121133330
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077109	50369236	count	171792522	165552882	144634606	150876589	154441533	139847341	167608755	159359352	144765520	147814619
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077139	50369237	count	200291204	194457166	173458784	180905243	181071201	170781669	195482996	184252137	173712951	181469180
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077169	50369238	count	229030280	223387946	202470177	211085705	212975654	201853451	228978661	209307973	202689864	207885192
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077199	50369239	count	248171807	242666170	231066678	233370699	244813242	224747966	262407759	242616315	231314284	227988850
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077229	50369240	count	343521283	263397627	250370014	245887538	258957805	237239458	271832174	251008342	240964313	241382835
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077259	50369241	count	303440425	287524037	269702289	275546312	285144804	268019383	293889003	281598773	260234691	265949631
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077289	50369242	count	332021248	316413843	296855995	298110897	306243533	291127116	327203440	306776669	297080846	292652999
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077319	50369243	count	360151228	345235428	325769566	327959688	337766303	314128940	354785049	331773063	316166773	319180384
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077349	50369244	count	388715686	374081439	354406118	357671785	369392421	345033117	382444339	365145329	345033409	352660597
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077379	50369245	count	417023278	402940968	383303963	387464729	395680967	375663126	415677109	398350695	373862635	379321360
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077409	50369246	count	455064135	431648949	411863404	417098531	427204778	406456637	448676711	423333639	402279345	405833819
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077439	50369247	count	483283915	460252634	450263865	447094819	458605098	429464539	481978526	456516071	431082923	439089160
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077469	50369248	count	511745464	488851015	478784376	476859684	490099444	460289248	512625007	489803846	459484546	465399411
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077499	50369249	count	530717615	504003945	507598534	498817428	521369555	490759057	534584257	514649679	488280136	491991526
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077529	50369250	count	558926485	532558325	526799394	521497853	547876041	510747837	562299912	539635461	507416838	505184826
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077559	50369251	count	583327209	560721669	555235792	551017302	570249026	533415597	589519663	552790437	535830482	534713856
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077589	50369252	count	611480490	579293832	574421987	580514665	590933122	556373652	622391763	585974664	555068107	560990956
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077619	50369253	count	639813287	607624174	608130864	610300169	622203823	586984709	649635041	611060672	579668487	587539970
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077649	50369254	count	667820754	635761364	636803537	628726321	653242326	617570103	677020649	644066320	608043963	613967116
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077679	50369255	count	696163210	664093876	665410350	650791401	684570966	640443233	707781203	676974175	636641934	640256954
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077709	50369256	count	724517109	692508027	693768503	680413968	715421723	671054104	735193173	701801831	664947130	666759177
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077739	50369257	count	752715762	711228021	712801588	695283972	741463293	701498079	762598136	726607189	684080477	686504948
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077769	50369258	count	781014165	739371141	741117746	732110119	767340411	722120235	784416769	759608914	712779214	712607060
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077799	50369259	count	790464448	767340462	769697550	761393636	793190734	744729252	817113964	781545230	741077346	745375049
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077829	50369260	count	827875469	783300048	788769999	775947797	813997277	767539760	838928229	797780411	760031978	761733612
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077859	50369261	count	827875469	783300048	807578275	790689729	867329920	782761677	844331330	830874826	769581041	794637592
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077889	50369262	count	824413881	783300048	807578275	788236663	867329920	782761677	844331330	830874826	817170935	794637592
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077919	50369263	count	843247139	790256611	812921177	795611208	835938407	783308804	969839886	815534386	777398821	772964155
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077949	50369264	count	861874784	808994289	832022602	810410056	841017148	797532702	920208406	831892272	796508754	786128104
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511077979	50369265	count	927565533	827783313	850771859	820910487	856391801	820389252	898176741	856547139	806256378	805597423
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078009	50369266	count	906368135	856213735	1393955632	843064037	883416212	843249045	919826730	881194665	834842858	825642921
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078039	50369267	count	934282681	884390736	886812343	872718859	914263827	865977689	952225861	905761905	863286636	858330677
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078069	50369268	count	953103940	912299646	915233590	902031354	945040817	896173520	979355163	930230430	881885958	884588048
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078099	50369269	count	990571259	940196101	943636191	930912357	970692897	918896394	1011577172	963115035	910318081	910716092
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078129	50369270	count	1008945927	967922906	972006039	960278930	1001482482	948953456	1038607944	995792488	938813743	936695543
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078159	50369271	count	1046234988	995984061	990603895	982119999	1026732855	971496607	1065265874	1020415068	966902022	962696456
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078189	50369272	count	1064746148	1014644515	1028508620	1011183867	1057310232	1001566582	1091930746	1044872129	985794362	988773856
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078219	50369273	count	1074071044	1033109424	1037983681	1025846163	1077540723	1016635425	1113336141	1061081026	1004749894	1007733479
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078249	50369274	count	1101922947	1051152804	1056595420	1040448182	1093257134	1031601469	1124050477	1077400564	1014002336	1014279680
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078279	50369275	count	1120614574	1069815565	1075032930	1062476213	1118777203	1054279593	1150595551	1101697400	1042322825	1040327919
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078309	50369276	count	1149412122	1097645846	1103283643	1083678246	1143481585	1084416190	1177285811	1126196939	1070334338	1066138077
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078339	50369277	count	1186560287	1125609411	1131454429	1112808933	1169189876	1106929519	1214620653	1158654144	1088904166	1092134622
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078369	50369278	count	1214303453	1153421782	1159582511	1141665489	1199456471	1136979314	1246593289	1191240729	1126521392	1124057577
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078399	50369279	count	1242168615	1180928151	1187570273	1170535650	1229862269	1166861070	1271314467	1215456427	1145362692	1149889181
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078429	50369280	count	1260703881	1208736361	1225129844	1199129796	1260344475	1196388755	1303141110	1248067192	1173660138	1175608624
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078459	50369281	count	1356921696	1296280988	1237304944	1213797600	1331353621	1211340379	1308455973	1256211715	1183085290	1182060935
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078489	50369282	count	1282257440	1220867212	1256152202	1296393829	1341434975	1226322938	1321633658	1272566768	1192506555	1324223331
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078519	50369283	count	1291543603	1459034348	1266563193	1236807349	1300603159	1226322938	1364329233	1283386014	1328990251	1361185982
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078549	50369284	count	1501828940	1250634105	1266563193	1466827144	1500008750	1326329883	1348300843	1324117605	1223270086	1223672248
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078579	50369285	count	1322472085	1259937186	1285401539	1261038357	1324263276	1250555618	1358885142	1307705459	1232641153	1230140521
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078609	50369286	count	1331799782	1278559518	1561924198	1319203703	1389524364	1265527010	1374846269	1315833208	1241835542	1499932210
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078639	50369287	count	1406091047	1334257698	1580714679	1355692516	1349408471	1273038910	1385676642	1323921554	1317128469	1551729696
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078669	50369288	count	1415368147	1297149668	1322628269	1370228524	1369626151	1295502900	1406882934	1340156068	1270036819	1275432808
Table.TotalDiskSpaceUsed.lucasdb.iot_data_dt	1511078699	50369289	count	1378338055	1343426884	1360136754	1333860143	1494785984	1310572288	1652065173	1588553791	1279451868	1282053260
