metric	timestamp	ts_join	type	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511139869	50371328	p50	0.051012	0.042510	0.029521	0.035425	0.024601	0.035425	0.035425	0.035425	0.035425	0.035425
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511139899	50371329	p50	0.061214	0.051012	0.042510	0.035425	0.042510	0.051012	0.042510	0.042510	0.042510	0.042510
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511139929	50371330	p50	0.061214	0.051012	0.042510	0.042510	0.042510	0.051012	0.042510	0.042510	0.042510	0.042510
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511139959	50371331	p50	0.061214	0.061214	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.042510
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511139989	50371332	p50	0.061214	0.061214	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.042510
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140019	50371333	p50	0.061214	0.061214	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.042510
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140049	50371334	p50	0.061214	0.061214	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.042510
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140079	50371335	p50	0.061214	0.061214	0.061214	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.042510
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140109	50371336	p50	0.061214	0.061214	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.061214	0.042510
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140139	50371337	p50	0.061214	0.061214	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140169	50371338	p50	0.061214	0.061214	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140199	50371339	p50	0.061214	0.061214	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.042510
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140229	50371340	p50	0.061214	0.061214	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140259	50371341	p50	0.061214	0.061214	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.051012	0.042510
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140289	50371342	p50	0.061214	0.061214	0.061214	0.051012	0.051012	0.051012	0.051012	0.051012	0.061214	0.042510
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140319	50371343	p50	0.061214	0.061214	0.061214	0.051012	0.051012	0.051012	0.061214	0.051012	0.051012	0.042510
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140349	50371344	p50	0.061214	0.061214	0.061214	0.051012	0.051012	0.051012	0.061214	0.051012	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140379	50371345	p50	0.061214	0.061214	0.051012	0.061214	0.061214	0.051012	0.061214	0.051012	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140409	50371346	p50	0.061214	0.061214	0.051012	0.061214	0.061214	0.061214	0.061214	0.051012	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140439	50371347	p50	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140469	50371348	p50	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140499	50371349	p50	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140529	50371350	p50	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140559	50371351	p50	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140589	50371352	p50	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140619	50371353	p50	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140649	50371354	p50	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140679	50371355	p50	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140709	50371356	p50	0.073457	0.073457	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140739	50371357	p50	0.073457	0.073457	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140769	50371358	p50	0.073457	0.073457	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140799	50371359	p50	0.073457	0.073457	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140829	50371360	p50	0.073457	0.073457	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140859	50371361	p50	0.073457	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140889	50371362	p50	0.073457	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140919	50371363	p50	0.073457	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140949	50371364	p50	0.073457	0.061214	0.061214	0.051012	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511140979	50371365	p50	0.073457	0.073457	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141009	50371366	p50	0.073457	0.073457	0.061214	0.061214	0.061214	0.051012	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141039	50371367	p50	0.073457	0.073457	0.061214	0.061214	0.061214	0.051012	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141069	50371368	p50	0.073457	0.073457	0.061214	0.061214	0.061214	0.051012	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141099	50371369	p50	0.073457	0.073457	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141129	50371370	p50	0.073457	0.073457	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141159	50371371	p50	0.073457	0.073457	0.073457	0.061214	0.073457	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141189	50371372	p50	0.073457	0.073457	0.073457	0.061214	0.073457	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141219	50371373	p50	0.073457	0.073457	0.073457	0.061214	0.073457	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141249	50371374	p50	0.073457	0.073457	0.073457	0.061214	0.073457	0.061214	0.061214	0.073457	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141279	50371375	p50	0.073457	0.073457	0.061214	0.061214	0.073457	0.061214	0.061214	0.073457	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141309	50371376	p50	0.073457	0.073457	0.061214	0.061214	0.073457	0.061214	0.061214	0.073457	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141339	50371377	p50	0.073457	0.073457	0.061214	0.061214	0.073457	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141369	50371378	p50	0.073457	0.073457	0.061214	0.061214	0.073457	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141399	50371379	p50	0.073457	0.073457	0.073457	0.061214	0.073457	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141429	50371380	p50	0.073457	0.073457	0.061214	0.061214	0.073457	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141459	50371381	p50	0.073457	0.073457	0.073457	0.061214	0.073457	0.061214	0.061214	0.061214	0.061214	0.051012
Table.ReadLatency.lucasdb.tw_ttl_1h_20min	1511141489	50371382	p50	0.073457	0.073457	0.073457	0.061214	0.073457	0.073457	0.061214	0.061214	0.061214	0.061214
